final_primary_category,deduped_attribute_count,source_candidate_count,auto_merged_attribute_count,needs_review_attribute_count
Personality Traits,3670,3789,92,130
Life Context & Constraints,1839,1985,67,1426
"Worldview, Beliefs & Attitudes",1126,1191,48,934
Demographics & Population Grounding,1067,1129,26,754
Domain-Specific Overlays,636,643,6,636
Behavioral Patterns & Preferences,339,339,0,63
Cognitive & Capability Profile,337,341,3,94
"Values, Goals & Motivations",242,248,6,173
"Social Identity, Relationships & Community",229,234,5,165
Narrative Identity & Life History,19,20,1,15
