final_primary_category,final_subcategory,deduped_attribute_count,source_candidate_count
Behavioral Patterns & Preferences,behavioral patterns and preferences,301,301
Behavioral Patterns & Preferences,sociodemographic behavior,31,31
Behavioral Patterns & Preferences,interests and preferences,6,6
Behavioral Patterns & Preferences,interests and topics,1,1
Cognitive & Capability Profile,cognitive and capability profile,325,328
Cognitive & Capability Profile,education language and field of training,9,9
Cognitive & Capability Profile,skills and expertise,2,2
Cognitive & Capability Profile,need for cognition,1,2
Demographics & Population Grounding,demographic variables,1018,1073
Demographics & Population Grounding,core demographics race ethnicity citizenship nativity and ancestry,16,21
Demographics & Population Grounding,demographic information,12,12
Demographics & Population Grounding,household composition and household language,11,12
Demographics & Population Grounding,nemotron demographic and geographic fields,6,7
Demographics & Population Grounding,geographic anchoring,4,4
Domain-Specific Overlays,uncategorized candidate,618,625
Domain-Specific Overlays,professional identity and career,10,10
Domain-Specific Overlays,career and professional identity,4,4
Domain-Specific Overlays,professional identity,4,4
Life Context & Constraints,life context and constraints,1757,1902
Life Context & Constraints,housing tenure quality costs and material resources,23,23
Life Context & Constraints,health insurance disability and functional difficulty,17,17
Life Context & Constraints,employment work hours occupation industry and income,13,13
Life Context & Constraints,commute and labor force access,9,10
Life Context & Constraints,technology and communication access,8,8
Life Context & Constraints,migration military and place of work,6,6
Life Context & Constraints,poverty public assistance and retirement income,6,6
Narrative Identity & Life History,personal identity and life narratives,10,10
Narrative Identity & Life History,narrative identity and life history,7,7
Narrative Identity & Life History,persona narrative summary,1,2
Narrative Identity & Life History,profile narrative text,1,1
Personality Traits,ipip personality items,3313,3319
Personality Traits,ipip personality scales,201,250
Personality Traits,facet map personality facets,63,82
Personality Traits,big five personality traits,29,29
Personality Traits,hexaco facets,21,36
Personality Traits,personality traits,16,19
Personality Traits,bfi 2 facets,14,30
Personality Traits,bfi 2 domains,5,11
Personality Traits,risk orientation and sensation seeking,4,6
Personality Traits,hexaco domains,3,6
Personality Traits,mbti style personality label,1,1
"Social Identity, Relationships & Community",social identity relationships and community,219,224
"Social Identity, Relationships & Community",family relationship marital status fertility and caregiving,10,10
"Values, Goals & Motivations",values goals and motivations,208,214
"Values, Goals & Motivations",personal values and motivations,21,21
"Values, Goals & Motivations",schwartz values,10,10
"Values, Goals & Motivations",self determination needs,3,3
"Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,811,859
"Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,207,222
"Worldview, Beliefs & Attitudes",social and institutional trust,85,87
"Worldview, Beliefs & Attitudes",primal world beliefs,18,18
"Worldview, Beliefs & Attitudes",sociodemographic attitudes,4,4
"Worldview, Beliefs & Attitudes",risk attitudes,1,1
